REJECTED | reason=characters changed: [አንበሳውስጋስላየአጉረመረመ] → [አንበሳውስጋስላጠአጉረመረመ] | original=[አንበሳው ስጋ ስላ የ አጉረመረ መ] | corrected=[አንበሳው ስጋ ስላጠ አጉረመረመ]
REJECTED | reason=characters changed: [የክለቦቹዋነኛአላማለሀገሪቱዋእግርኳስእድገትየበኩላቸውንአስተዋጽኦማበርከትነው] → [የክለቦቹዋነኛአላማለሀገሪቱእግርኳስእድገትየበኩላቸውንአስተዋጽኦማበርከትነው] | original=[የ ክለቦቹ ዋነኛ አላማ ለ ሀገሪቱ ዋ እግር ኳስ እድገት የ በኩላቸው ን አስተዋጽኦ ማበርከት ነው] | corrected=[የክለቦቹ ዋነኛ አላማ ለሀገሪቱ እግር ኳስ እድገት የበኩላቸውን አስተዋጽኦ ማበርከት ነው]
REJECTED | reason=characters changed: [እንደአሜሪካእምነትናመላምትኦሮሚያነጻነትዋንካወጀትኢትዮጵያትገነጣጠላለች] → [እንደአሜሪካእምነትናመላምትኦሮሚያነጻነቷንካወጀትኢትዮጵያትገነጣጠላለች] | original=[እንደ አሜሪካ እምነት ና መላ ም ት ኦሮሚያ ነጻነት ዋን ካወጀ ት ኢትዮጵያ ትገነጣጠ ላለች] | corrected=[እንደ አሜሪካ እምነትና መላምት ኦሮሚያ ነጻነቷን ካወጀት ኢትዮጵያ ትገነጣጠላለች]
REJECTED | reason=characters changed: [የአባይወንዝውሎችእንዲሰረዙበኬንያናበኡጋንዳተጠየቀ] → [የአባይወንዝዎችእንዲሰረዙበኬንያናበኡጋንዳተጠየቀ] | original=[የ አባይ ወንዝ ው ሎች እንዲ ሰረዙ በ ኬንያ ና በ ኡጋንዳ ተጠየቀ] | corrected=[የአባይ ወንዝ ዎች እንዲሰረዙ በኬንያ ና በኡጋንዳ ተጠየቀ]
REJECTED | reason=characters changed: [የኖርዌይአስተማሪዎችማህበርናጋዜጣውእንዳሉትአቶውብሸትብዙንጹህኢትዮጵያዊያንንእስርቤትከተዋቸዋል] → [የኖርዌይአስተማሪዎችማህበርናጋዜጣውእንዳሉትአቶውብሸትብዙንጹህኢትዮጵያዊያንእስርቤትከተዋቸዋል] | original=[የ ኖርዌይ አስተማሪ ዎች ማህበር ና ጋዜጣው እንዳሉት አቶ ውብሸት ብዙ ንጹህ ኢትዮጵያዊያ ን ን እስር ቤት ከተ ዋቸዋል] | corrected=[የኖርዌይ አስተማሪዎች ማህበር ና ጋዜጣው እንዳሉት አቶ ውብሸት ብዙ ንጹህ ኢትዮጵያዊያን እስር ቤት ከተዋቸዋል]
REJECTED | reason=characters changed: [እንደገናየእንባጐርፍጉንጩንአጠበው] → [እንደገናየእምባጐርፍጉንጩንአጠበው] | original=[እንደ ገና የ እንባ ጐርፍ ጉንጩ ን አጠ በ ው] | corrected=[እንደገና የእምባ ጐርፍ ጉንጩን አጠበው]
REJECTED | reason=characters changed: [የቪያሊቼልሲዌምብልደንንአስተናግዶሶስትለዜሮበሆነውጤትአሸንፏል] → [የቪያሊቼልሲዌምብልደንአስተናግዶሶስትለዜሮበሆነውጤትአሸንፏል] | original=[የ ቪያሊ ቼልሲ ዌምብ ል ደን ን አስተናግ ዶ ሶስት ለ ዜሮ በሆነ ውጤት አሸን ፏል] | corrected=[የቪያሊ ቼልሲ ዌምብልደን አስተናግዶ ሶስት ለዜሮ በሆነ ውጤት አሸንፏል]
REJECTED | reason=characters changed: [የአማርኛፊደሎችለኮምፒውተርምንያህልአመቺናቸው] → [የአማርኛፊደሎችለኮምፒውተርምምንያህልአመቺናቸው] | original=[የ አማርኛ ፊደ ሎች ለ ኮምፒውተር ም ን ያህል አመቺ ናቸው] | corrected=[የአማርኛ ፊደሎች ለኮምፒውተርም ምን ያህል አመቺ ናቸው]
REJECTED | reason=characters changed: [ነገሜዳውስጥውጤትቢጠፋማንንተጠያቂሊያደርጉነውተጫዋቾቹንአሰልጣኙንወይንስራሳቸውንሰላምሁኑቡናዎች] → [ነገሜዳውስጥውጤትቢጠፋማንተጠያቂሊያደርጉነውተጫዋቾቹንአሰልጣኙንወይንስራሳቸውንሰላምሁኑቡናዎች] | original=[ነገ ሜዳ ውስጥ ውጤት ቢጠፋ ማን ን ተጠያቂ ሊያደርጉ ነው ተጫዋቾቹ ን አሰልጣኙ ን ወይን ስ ራሳቸው ን ሰላም ሁኑ ቡና ዎች] | corrected=[ነገ ሜዳ ውስጥ ውጤት ቢጠፋ ማን ተጠያቂ ሊያደርጉ ነው ተጫዋቾቹን አሰልጣኙን ወይንስ ራሳቸውን ሰላም ሁኑ ቡናዎች]
REJECTED | reason=characters changed: [ትርጉሙምእንዲህይነበባልየኢትዮጵያመንግስትየታገዱትየህወሀትማእከላዊኮሚቴአባላትአዲስአባበሚገኘውየድሮዎቹአጼዎችቤተመንግስትይዟቸውይገኛል] → [ትርጉሙምእንዲህይነበባልየኢትዮጵያመንግስትየታገዱትየህወሀትማእከላዊኮሚቴአባላትአዲስአባባበሚገኘውየድሮዎቹአጼዎችቤተመንግስትይዟቸውይገኛል] | original=[ትርጉሙ ም እንዲ ህ ይነ በ ባል የ ኢትዮጵያ መንግስት የ ታገዱት የ ህወሀት ማእከላዊ ኮሚቴ አባላት አዲስ አባ በ ሚገኘው የድሮ ዎቹ አጼ ዎች ቤተ መንግስት ይዟቸው ይገኛል] | corrected=[ትርጉሙም እንዲህ ይነበባል የኢትዮጵያ መንግስት የታገዱት የህወሀት ማእከላዊ ኮሚቴ አባላት አዲስ አባባ በሚገኘው የድሮዎቹ አጼዎች ቤተ መንግስት ይዟቸው ይገኛል]
REJECTED | reason=characters changed: [ዞርበልብያለሁይላልበችሎቱዙሪያያለውንሰው] → [ዞርበልብቃያለሁይላልበችሎቱዙሪያያለውንሰው] | original=[ዞር በ ል ብ ያለሁ ይላል በ ችሎቱ ዙሪያ ያለውን ሰው] | corrected=[ዞር በል ብቃ ያለሁ ይላል በ ችሎቱ ዙሪያ ያለውን ሰው]
REJECTED | reason=characters changed: [በማስፈራራትናበቁጣመንፈስእያናገሩየቀረጹንንነውእድልሰጥተናቸውተናገሩየተባለውብለዋል] → [በማስፈራራትናበቁጣመንፈስእያናገሩየቀረጹንነውእድልሰጥተናቸውተናገሩየተባለውብለዋል] | original=[በ ማስፈራራት ና በ ቁጣ መንፈስ እያ ናገሩ የ ቀረጹ ን ን ነው እድል ሰጥተ ናቸው ተናገሩ የ ተባለው ብለዋል] | corrected=[በ ማስፈራራትና በ ቁጣ መንፈስ እያናገሩ የቀረጹን ነው እድል ሰጥተናቸው ተናገሩ የ ተባለው ብለዋል]
REJECTED | reason=characters changed: [በኢትዮጵያፕሬስየሬዲዮናቴሌቪዥንድርጅቶችበቦርድሰብሳቢነትየተሾሙትየማስታውቂያማኒስትሩአቶበረከትሲእሞንናቸው] → [በኢትዮጵያፕሬስየሬዲዮናቴሌቪዥንድርጅቶችበቦርድሰብሳቢነትየተሾሙትየማስታውቂያማኒስትሩአቶበረከትስምዖንናቸው] | original=[በ ኢትዮጵያ ፕሬስ የ ሬዲዮ ና ቴሌቪዥን ድርጅቶች በ ቦርድ ሰብሳቢነት የ ተሾሙት የ ማስታውቂያ ማኒስትሩ አቶ በረከት ሲ እ ሞን ናቸው] | corrected=[በ ኢትዮጵያ ፕሬስ የ ሬዲዮና ቴሌቪዥን ድርጅቶች በ ቦርድ ሰብሳቢነት የ ተሾሙት የ ማስታውቂያ ማኒስትሩ አቶ በረከት ስምዖን ናቸው]
REJECTED | reason=characters changed: [ኢታማዦርሹምናጠቅላይሚኒስትርመለስተወዛግበውነበር] → [ኢታማዦርሹምናጠቅላይሚኒስትርመለስተወዛግቡነበር] | original=[ኢታ ማዦር ሹም ና ጠቅላይ ሚኒስትር መለስ ተወዛግ በ ው ነበር] | corrected=[ኢታማዦር ሹም ና ጠቅላይ ሚኒስትር መለስ ተወዛግቡ ነበር]
REJECTED | reason=characters changed: [የአይኖቹንናየአፍንጮችቀዳዳዎችትንንሾችመሆናቸውምተመልክቷል] → [የአይኖቹናየአፍንጫዎችቀዳዳዎችትንንሾችመሆናቸውምተመልክቷል] | original=[የ አይኖቹ ንና የ አ ፍንጮች ቀዳዳ ዎች ትንንሾች መሆናቸው ም ተመልክ ቷል] | corrected=[የአይኖቹ ና የአፍንጫዎች ቀዳዳዎች ትንንሾች መሆናቸውም ተመልክቷል]
REJECTED | reason=characters changed: [ከዚያበተጨማሪየስልጠናውንሂደትየሚያሻሽልላቸውይሻሉ] → [ከዚያበተጨማሪየስልጠናውንሂደትየሚያሻሽላቸውይሻሉ] | original=[ከዚያ በ ተጨማሪ የ ስልጠና ውን ሂደት የሚ ያሻሽል ላቸው ይ ሻሉ] | corrected=[ከዚያ በተጨማሪ የስልጠናውን ሂደት የሚያሻሽላቸው ይሻሉ]
REJECTED | reason=characters changed: [የተለያዩሸቀጦችንናአገልግሎቶችንሸጠንያሰባሰብነውነው] → [የተለያዩሸቀጦችናአገልግሎቶችንሸጠንያሰባሰብነውነው] | original=[የተለያዩ ሸቀጦች ንና አገልግሎቶች ን ሸጠ ን ያሰባሰብ ነው ነው] | corrected=[የተለያዩ ሸቀጦችና አገልግሎቶችን ሸጠን ያሰባሰብነው ነው]
REJECTED | reason=characters changed: [ይህንእውነታበስሙብዙየሚባልለትህዝብእንዲያውቀውአልተደረገም] → [ይህንእውነታበስሙብዙየሚባለትህዝብእንዲያውቀውአልተደረገም] | original=[ይህን እውነታ በ ስሙ ብዙ የሚ ባል ለት ህዝብ እንዲ ያውቀው አልተደረገ ም] | corrected=[ይህን እውነታ በስሙ ብዙ የሚባለት ህዝብ እንዲያውቀው አልተደረገም]
REJECTED | reason=characters changed: [እዚያውዋሽንግተንዲሲውስጥበሚገኘውኢትዮጵያውያንበሚያዘወትሩትፋሲካሬስቶራንትአዲስስራጀመረች] → [እዚያውዋሽንግተንዲሲውስጥበሚገኘውኢትዮጵያዊያንበሚያዘወትሩትፋሲካሬስቶራንትአዲስስራጀመረች] | original=[እዚያ ው ዋሽንግተን ዲሲ ውስጥ በ ሚገኘው ኢትዮጵያውያ ን በሚ ያዘወትሩ ት ፋሲካ ሬስቶራንት አዲስ ስራ ጀመረች] | corrected=[እዚያው ዋሽንግተን ዲሲ ውስጥ በሚገኘው ኢትዮጵያዊያን በሚያዘወትሩት ፋሲካ ሬስቶራንት አዲስ ስራ ጀመረች]
REJECTED | reason=characters changed: [ኤርትራሚግአስራሰባትተዋጊአውሮፕላኖችእየሸመተሽነው] → [ኤርትራሚግአስራሰባትተዋጊአውሮፕላኖችእየሸመተችነው] | original=[ኤርትራ ሚግ አስራ ሰባት ተዋጊ አውሮፕላኖች እ የሸመተ ሽ ነው] | corrected=[ኤርትራ ሚግ አስራ ሰባት ተዋጊ አውሮፕላኖች እየሸመተች ነው]
REJECTED | reason=characters changed: [የተለያዩነገሮችበእንቅስቃሴባሳይደደብነውሊሉኝይችላሉ] → [የተለያዩነገሮችበእንቅስቃሴባይሳይደደብነውሊሉኝይችላሉ] | original=[የተለያዩ ነገሮች በ እንቅስቃሴ ባ ሳይ ደደ ብ ነው ሊ ሉኝ ይችላሉ] | corrected=[የተለያዩ ነገሮች በእንቅስቃሴ ባይሳይደደብ ነው ሊሉኝ ይችላሉ]
REJECTED | reason=characters changed: [እናእንዲህደክመውበሽተኛቸውሲድንላቸውደስታያስፈነድቃቸውነበር] → [እናእንዲህደክመውበሽተኞቻቸውሲድንላቸውደስታያስፈነድቃቸውነበር] | original=[እና እንዲ ህ ደክመ ው በሽተኛ ቸው ሲ ድን ላቸው ደስታ ያስፈነድ ቃቸው ነበር] | corrected=[እና እንዲህ ደክመው በሽተኞቻቸው ሲድን ላቸው ደስታ ያስፈነድቃቸው ነበር]
REJECTED | reason=characters changed: [እነተወልደአዲስፓርትያቋቁማሉተባለ] → [እነተወልደአዲስፓርቲያቋቁማሉተባለ] | original=[እነ ተወልደ አዲስ ፓርት ያቋቁማሉ ተ ባለ] | corrected=[እነ ተወልደ አዲስ ፓርቲ ያቋቁማሉ ተባለ]
REJECTED | reason=characters changed: [አሁንግንቴድሮስጊዮርጊስገባንሲሰሙምንእንዲህእንዳራኮታቸውግልጽአደለም] → [አሁንግንቴድሮስጊዮርጊስገባንሲሰሙምእንዲህእንዳራኮታቸውግልጽአደለም] | original=[አሁን ግን ቴድሮስ ጊዮርጊስ ገባ ን ሲ ሰሙ ም ን እንዲ ህ እንዳ ራ ኮ ታቸው ግልጽ አደለ ም] | corrected=[አሁን ግን ቴድሮስ ጊዮርጊስ ገባን ሲሰሙም እንዲህ እንዳራኮታቸው ግልጽ አደለም]
REJECTED | reason=characters changed: [ኢትዮጵያዊያኑስደተኞችጥገኝነትአገኙ] → [ኢትዮጵያውያኑስደተኞችጥገኝነትአገኙ] | original=[ኢትዮጵያዊያ ኑ ስደተኞች ጥገኝነት አገኙ] | corrected=[ኢትዮጵያውያኑ ስደተኞች ጥገኝነት አገኙ]
REJECTED | reason=characters changed: [በኤቶይልሳህልበኩልአስርቁጥርዳንኤልጆንናአስራአንድቁጥሩኬይታአብዱልቃድርየጊዮርጊስተከላካዮችንበማስጨነቅችሎታቸውንበሚገባአስመስክረዋል] → [በኤቶይልሳህልበኩልአስርቁጥርዳንኤልጆናአስራአንድቁጥሩኬይታአብዱልቃድርየጊዮርጊስተከላካዮችንበማስጨነቅችሎታቸውንበሚገባአስመስክረዋል] | original=[በ ኤቶይል ሳህል በኩል አስር ቁጥር ዳንኤል ጆን ና አስራ አንድ ቁጥሩ ኬይ ታ አብዱል ቃድር የ ጊዮርጊስ ተከላካዮች ን በ ማስጨነቅ ችሎታቸው ን በሚገባ አስ መስክ ረዋል] | corrected=[በኤቶይል ሳህል በኩል አስር ቁጥር ዳንኤል ጆና አስራ አንድ ቁጥሩ ኬይታ አብዱል ቃድር የጊዮርጊስ ተከላካዮችን በማስጨነቅ ችሎታቸውን በሚገባ አስመስክረዋል]
REJECTED | reason=characters changed: [ይህምአንድኮሚኒቲካለያንንላለመከለልናወንዝምካለላለመቁረጥበመሳሰሉትሁኔታዎችየሚታይመሆኑንጠቁመዋል] → [ይህምአንድኮሚኒቲካለያንንላለመከለልናወንዝምካለላለመቁረጥበሚሳሰሉትሁኔታዎችየሚታይመሆኑንጠቁመዋል] | original=[ይህም አንድ ኮሚኒቲ ካለ ያን ን ላለ መከለል ና ወንዝ ም ካለ ላለ መቁረጥ በ መሳሰሉት ሁኔታዎች የሚታይ መሆኑን ጠቁ መዋል] | corrected=[ይህም አንድ ኮሚኒቲ ካለ ያንን ላለመከለልና ወንዝም ካለ ላለመቁረጥ በሚሳሰሉት ሁኔታዎች የሚታይ መሆኑን ጠቁመዋል]
REJECTED | reason=characters changed: [አልፈውሻእቢያንንመርዳትናማደራጀትጀመሩበርበሬቋንጣገንዘብማሰባሰብጀመሩ] → [አልፈውሻእቢያንመርዳትናማደራጀትጀመሩበርበሬቋንጣገንዘብማሰባሰብጀመሩ] | original=[አልፈው ሻእቢያ ን ን መርዳት ና ማደራጀት ጀመሩ በርበሬ ቋንጣ ገንዘብ ማሰባሰብ ጀመሩ] | corrected=[አልፈው ሻእቢያን መርዳትና ማደራጀት ጀመሩ በርበሬ ቋንጣ ገንዘብ ማሰባሰብ ጀመሩ]
REJECTED | reason=characters changed: [ኢትዮጵያየስኳርምርትዋንወደውጭልትልክነው] → [ኢትዮጵያየስኳርምርቷንወደውጭልትልክነው] | original=[ኢትዮጵያ የ ስኳር ምርት ዋን ወደ ውጭ ልት ልክ ነው] | corrected=[ኢትዮጵያ የስኳር ምርቷን ወደ ውጭ ልትልክ ነው]
REJECTED | reason=characters changed: [የቅባትእህሎችንናቡናሳይቀርከኢትዮጵያወደአስመራበማስገባትየውጪገበያበማቅረብከፍተኛየውጪምንዛሬታገኝበትነበር] → [የቅባትእህሎችናቡናሳይቀርከኢትዮጵያወደአስመራበማስገባትየውጪገበያበማቅረብከፍተኛየውጪምንዛሬታገኝበትነበር] | original=[የ ቅባት እህሎች ንና ቡና ሳይ ቀር ከ ኢትዮጵያ ወደ አስመራ በ ማስገባት የ ውጪ ገበያ በ ማቅረብ ከፍተኛ የ ውጪ ምንዛሬ ታገኝ በት ነበር] | corrected=[የቅባት እህሎችና ቡና ሳይቀር ከኢትዮጵያ ወደ አስመራ በማስገባት የውጪ ገበያ በማቅረብ ከፍተኛ የውጪ ምንዛሬ ታገኝበት ነበር]
REJECTED | reason=characters changed: [የመጀመሪያውንጨዋታየኢትዮጵያቡድንበኒጀርኒያሚከተማጳጉሜሁለትቀንያከናውናል] → [የመጀመሪያውንጨዋታየኢትዮጵያቡድንበኒጀርኒያሚከተማጳጉሜሁለትቀንያካናውናል] | original=[የመጀመሪያ ውን ጨዋታ የ ኢትዮጵያ ቡድን በ ኒጀር ኒያሚ ከተማ ጳጉሜ ሁለት ቀን ያ ከ ና ው ናል] | corrected=[የመጀመሪያውን ጨዋታ የኢትዮጵያ ቡድን በኒጀር ኒያሚ ከተማ ጳጉሜ ሁለት ቀን ያካናውናል]
REJECTED | reason=characters changed: [የአፍሪካኢንጂንየርናኮንትራክተርስአክሲዮንማህበርአስተዳዳሪዎችተፈረደባቸው] → [የአፍሪካኢንጂነርናኮንትራክተርስአክሲዮንማህበርአስተዳዳሪዎችተፈረደባቸው] | original=[የ አፍሪካ ኢንጂ ን የር ና ኮንትራክተር ስ አክሲዮን ማህበር አስተዳዳሪ ዎች ተፈረደ ባቸው] | corrected=[የአፍሪካ ኢንጂነር ና ኮንትራክተርስ አክሲዮን ማህበር አስተዳዳሪዎች ተፈረደባቸው]
REJECTED | reason=characters changed: [አንዳንዶቻችንየለሰለሰስቴክክሬምያለበትኮንዲሽንሀንቶፕደረጃላይያደርሳልእንላለን] → [አንዳንዶቻችንየለሰለሰስቴክክሬምያለበትኮንዲሽናንቶፕደረጃላይያደርሳልእንላለን] | original=[አንዳንዶ ቻችን የ ለ ሰለሰ ስ ቴክ ክሬም ያለበት ኮንዲሽን ሀን ቶፕ ደረጃ ላይ ያ ደርሳል እን ላለን] | corrected=[አንዳንዶቻችን የለሰለሰ ስቴክ ክሬም ያለበት ኮንዲሽናን ቶፕ ደረጃ ላይ ያደርሳል እንላለን]
REJECTED | reason=characters changed: [ቺሊዎችእኮፔናሊቲውትክክለኛአይደለምበሚልተቃውመዋል] → [ቺሊዎችእኮፔናሊቲውትክክለኛአይደለምበሚልተቃውሟዋል] | original=[ቺሊ ዎች እ ኮ ፔናሊቲ ው ትክክለኛ አይደለም በሚል ተቃውመ ዋል] | corrected=[ቺሊዎች እኮ ፔናሊቲው ትክክለኛ አይደለም በሚል ተቃውሟዋል]
REJECTED | reason=characters changed: [እኛየሽግግርመንግስቱናየሶማሊያየእርቅየመልሶማቋቋምኮሚሽኑንንለማስታረቅእንፈልጋለን] → [እኛየሽግግርመንግስቱናየሶማሊያየእርቅየመልሶማቋቋምኮሚሽኑንለማስታረቅእንፈልጋለን] | original=[እኛ የ ሽግግር መንግስቱ ና የ ሶማሊያ የ እርቅ የ መልሶ ማቋቋም ኮሚሽኑ ን ን ለ ማስታረቅ እንፈልጋለን] | corrected=[እኛ የሽግግር መንግስቱ ና የሶማሊያ የእርቅ የመልሶ ማቋቋም ኮሚሽኑን ለማስታረቅ እንፈልጋለን]
REJECTED | reason=characters changed: [በእውነትውበትሚዛንአለውውበትሊወዳደሩበትየሚገባነውወይዘሪትአዲስአበባምንትመስልይሆንየሚሉጥያቄዎችበውስጣችንነበሩ] → [በእውነቱበትሚዛንአለውውበትሊወዳደሩበትየሚገባነውወይዘሪትአዲስአበባምንትመስልይሆንየሚሉጥያቄዎችበውስጣችንነበሩ] | original=[በ እውነት ው በት ሚዛን አለ ው ው በት ሊ ወዳደሩ በት የሚገባ ነው ወይዘሪት አዲስ አበባ ም ን ት መስል ይሆን የሚሉ ጥያቄዎች በ ውስጣችን ነበሩ] | corrected=[በእውነቱ በትሚዛን አለው ውበት ሊወዳደሩበት የሚገባ ነው ወይዘሪት አዲስ አበባ ምንት መስልይሆን የሚሉ ጥያቄዎች በውስጣችን ነበሩ]
REJECTED | reason=characters changed: [ዛሬብርሀኑንንሊያበራየቻለውዜኔዲንዝዳንነው] → [ዛሬብርሀኑንሊያበራየቻለውዜኔዲንዝዳንነው] | original=[ዛሬ ብርሀኑ ን ን ሊ ያበራ የ ቻለው ዜ ኔ ዲን ዝ ዳን ነው] | corrected=[ዛሬ ብርሀኑን ሊያበራ የቻለው ዜኔዲን ዝዳን ነው]
REJECTED | reason=characters changed: [ራሳቸውጠቅላይሚኒስተሩምቢገልጹትየሚመጣለውጥእንደሌለአሙንነው] → [ራሳቸውጠቅላይሚኒስተሩምቢገልጹትየሚመጣለውጥእንደሌለአሙነነው] | original=[ራሳቸው ጠቅላይ ሚኒስተሩ ም ቢገልጹ ት የሚመጣ ለውጥ እንደሌለ አሙ ን ነው] | corrected=[ራሳቸው ጠቅላይ ሚኒስተሩም ቢገልጹት የሚመጣ ለውጥ እንደሌለ አሙነነው]
REJECTED | reason=characters changed: [ኢትዮጵያየምግብእርዳታየማስገቢያወደቦችትፈልጋለች] → [ኢትዮጵያየምግብእርዳታየማስገቢያወደቦትፈልጋለች] | original=[ኢትዮጵያ የ ምግብ እርዳታ የ ማስገቢያ ወደቦች ት ፈልጋለች] | corrected=[ኢትዮጵያ የምግብ እርዳታ የማስገቢያ ወደቦት ፈልጋለች]
REJECTED | reason=characters changed: [ሰላሳአምስትኢትዮጵያውያንንናአንድመቶዘጠናዘጠኝኤርትራውያንንበድብቅያሳረፈችውጀልባማልታገባች] → [ሰላሳአምስትኢትዮጵያውያንናአንድመቶዘጠናዘጠኝኤርትራውያንንበድብቅያሳረፈችውጀልባማልታገባች] | original=[ሰላሳ አምስት ኢትዮጵያውያ ን ንና አንድ መቶ ዘጠና ዘጠኝ ኤርትራውያን ን በ ድብቅ ያሳረፈ ችው ጀልባ ማልታ ገባች] | corrected=[ሰላሳ አምስት ኢትዮጵያውያን ና አንድ መቶ ዘጠና ዘጠኝ ኤርትራውያንን በድብቅ ያሳረፈችው ጀልባ ማልታ ገባች]
REJECTED | reason=characters changed: [ለሰላማዊውይይትጥሪተቃዋሚዎቹንምላሽየነፈገውየኢህአዴግመንግስትአንዳንድተቃዋሚዎቹምርጫችንየትጥቅትግልነውብለውታል] → [ለሰላማዊውይይትጥሪተቃዋሚዎቹንምላሽየነፈገውየኢህአዴግመንግስትአንዳንድተቃዋሚዎቹምርጫቸውንየትጥቅትግልነውብለውታል] | original=[ለ ሰላማዊ ውይይት ጥሪ ተቃዋሚዎቹ ን ምላሽ የ ነፈገ ው የ ኢህአዴግ መንግስት አንዳንድ ተቃዋሚዎቹ ምርጫ ችን የ ትጥቅ ትግል ነው ብለው ታል] | corrected=[ለ ሰላማዊ ውይይት ጥሪ ተቃዋሚዎቹን ምላሽ የ ነፈገው የ ኢህአዴግ መንግስት አንዳንድ ተቃዋሚዎቹ ምርጫቸውን የ ትጥቅ ትግል ነው ብለው ታል]
REJECTED | reason=characters changed: [ኢሮቦችሳሆእንደአፋሮችትግራይትግረኞችሁሉበኢትዮጵያምጠልቀውየሚኖሩናቸው] → [ኢሮቦችሳሆእንደአፋሮችትግራይትግሬኞችሁሉበኢትዮጵያምጠልቀውየሚኖሩናቸው] | original=[ኢሮቦች ሳሆ እንደ አፋሮች ትግራይ ትግረ ኞች ሁሉ በ ኢትዮጵያ ም ጠልቀው የሚኖሩ ናቸው] | corrected=[ኢሮቦች ሳሆ እንደ አፋሮች ትግራይ ትግሬኞች ሁሉ በኢትዮጵያም ጠልቀው የሚኖሩ ናቸው]
REJECTED | reason=characters changed: [ከሜዳእንዲርቅአድርገውታልማለትነው] → [ከሜዳእንዲርቅአድርገዋታልማለትነው] | original=[ከ ሜዳ እንዲ ርቅ አድርገው ታል ማለት ነው] | corrected=[ከሜዳ እንዲርቅ አድርገዋታል ማለት ነው]
REJECTED | reason=characters changed: [ወደቧንየተቀማችውኢትዮጵያሀዲዶቿንማደሱንተያይዛዋለች] → [ወደቧንየተቀማቸውኢትዮጵያሀዲዶቿንማደሱንተያይዛዋለች] | original=[ወደ ቧን የተቀማ ችው ኢትዮጵያ ሀዲዶ ቿን ማደሱ ን ተያይዛ ዋለች] | corrected=[ወደቧን የተቀማቸው ኢትዮጵያ ሀዲዶቿን ማደሱን ተያይዛዋለች]
REJECTED | reason=characters changed: [ሀረሪዎችምንያስፈልጋቸዋልበማለትምያስቀመጠውበሀረሪዎችላይያተኮሩአምስትየሚሽንማሀከሎችስራቸውንበመስራትላይናቸው] → [ሀረሪዎችምምንያስፈልጋቸዋልበማለትምያስቀመጠውበሀረሪዎችላይያተኮሩአምስትየሚሽንማሀከሎችስራቸውንበመስራትላይናቸው] | original=[ሀረሪዎች ም ን ያስፈልጋ ቸዋል በማ ለትም ያስቀመጠ ው በ ሀረሪዎች ላይ ያተኮሩ አምስት የሚ ሽን ማሀ ከ ሎች ስራቸው ን በ መስራት ላይ ናቸው] | corrected=[ሀረሪዎችም ምን ያስፈልጋቸዋል በማለትም ያስቀመጠው በሀረሪዎች ላይ ያተኮሩ አምስት የሚሽን ማሀከሎች ስራቸውን በመስራት ላይ ናቸው]
REJECTED | reason=characters changed: [እዚህላይዩኒቨርስቲዎችናኮሌጆችምንደረጃላይእንደሚገኙከበጀትአመዳደቡመረዳትአያስቸግርም] → [እዚህላይዩኒቨርስቲዎችናኮሌጆችምምንደረጃላይእንደሚገኙከበጀትአመዳደቡመረዳትአያስቸግርም] | original=[እዚህ ላይ ዩኒቨርስቲ ዎችና ኮሌጆች ም ን ደረጃ ላይ እንደሚገኙ ከ በጀት አመዳደቡ መረዳት አ ያስቸግር ም] | corrected=[እዚህ ላይ ዩኒቨርስቲዎችና ኮሌጆችም ምን ደረጃ ላይ እንደሚገኙ ከበጀት አመዳደቡ መረዳት አያስቸግርም]
REJECTED | reason=characters changed: [ኢንኮሲኒጌሌሌኢትዮጵያብለንእግዚአብሄርኢትዮጵያንይባርክልንልእንችላለን] → [ኢንኮሲኒጌሌሌኢትዮጵያብለንእግዚአብሄርኢትዮጵያንይባርክልንእንችላለን] | original=[ኢንኮ ሲ ኒጌ ሌሌ ኢትዮጵያ ብለን እግዚአብሄር ኢትዮጵያ ን ይባርክ ልን ል እንችላ ለ ን] | corrected=[ኢንኮሲኒጌሌሌ ኢትዮጵያ ብለን እግዚአብሄር ኢትዮጵያን ይባርክልን እንችላለን]
REJECTED | reason=characters changed: [ሁለትሶስትልጆቻቸውንወደትግልልከውጧሪያጡትሰየሰማእታትቤተሰቦችምንሊሰማቸውእንደሚችልመገመትያዳግታችኋልአንልም] → [ሁለትሶስትልጆቻቸውንወደትግልልከውጧሪያጡትሰየሰማእታትቤተሰቦችምምንሊሰማቸውእንደሚችልመገመትያዳግታችኋልአንልም] | original=[ሁለት ሶስት ልጆቻቸው ን ወደ ትግል ልከው ጧሪ ያጡ ት ሰ የ ሰማእታት ቤተሰቦች ም ን ሊ ሰማቸው እንደሚ ችል መገመት ያዳግታ ችኋል አን ል ም] | corrected=[ሁለት ሶስት ልጆቻቸውን ወደ ትግል ልከው ጧሪ ያጡት ሰየሰማእታት ቤተሰቦችም ምን ሊሰማቸው እንደሚችል መገመት ያዳግታችኋል አንልም]
